,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
3328,2022-11-20,2022,11,N43,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Same,Same,Same
3329,2022-11-20,2022,11,N43,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
3330,2022-11-20,2022,11,N43,Male,Millennials,Salaried employee,Low Income,Less,Same,Same,Less,Less,Not sure,Less,Not sure,Not sure,Not sure,Less,Less,More
3331,2022-11-20,2022,11,N43,Female,Gen X,Business owner,Low Income,Same,Same,Less,Same,Less,Less,Less,Less,Less,Less,Less,Same,Same
3332,2022-11-20,2022,11,N43,Male,Millennials,Salaried employee,Low Income,Same,Same,Less,Not sure,Not sure,More,Less,Not sure,Not sure,Less,Not sure,Less,More
3333,2022-11-20,2022,11,N43,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Not sure,Less,More,More,More
3334,2022-11-20,2022,11,N43,Male,Millennials,Salaried employee,Low Income,Same,Same,More,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
3335,2022-11-20,2022,11,N43,Male,Gen Z,Salaried employee,Low Income,Same,Less,Same,Same,Not sure,Less,Same,Not sure,Same,Same,Not sure,Same,Same
3336,2022-11-20,2022,11,N43,Male,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Not sure,Not sure,Not sure,Same,Same,Same
3337,2022-11-20,2022,11,N43,Female,Gen X,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,More,More,Less,Same,Less,Same,More
3338,2022-11-20,2022,11,N47,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3339,2022-11-20,2022,11,N47,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same,Same
3340,2022-11-20,2022,11,N47,Male,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Same
3341,2022-11-20,2022,11,N47,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3342,2022-11-20,2022,11,N47,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Same,Less,Less,More,Same
3343,2022-11-20,2022,11,N47,Female,Gen X,Unemployed,Low Income,Same,Same,Same,Same,Less,Not sure,Same,Less,Not sure,Less,Less,Less,Less
3344,2022-11-20,2022,11,N47,Male,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3345,2022-11-20,2022,11,N47,Female,Millennials,Unemployed,Low Income,Same,Same,Same,Same,More,Less,Same,Same,Same,Same,Same,Same,Same
3346,2022-11-20,2022,11,N47,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Less,Same,Same,Same,Same
3347,2022-11-20,2022,11,N47,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Same,Same
3348,2022-11-20,2022,11,N47,Female,Millennials,Unemployed,Low Income,Same,Less,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
3349,2022-11-20,2022,11,N47,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Less,Less,Less,Less,Same
3350,2022-11-20,2022,11,N47,Male,Millennials,Business owner,Low Income,Same,More,More,Same,Same,Not sure,Less,Less,Not sure,Not sure,Less,Less,Same
3351,2022-11-20,2022,11,N47,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Less,Less,Same,Same,Same
3352,2022-11-20,2022,11,N47,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Less,Less,Same,Same,Same
3353,2022-11-20,2022,11,N48,Female,Millennials,Business owner,Middle Income,Same,More,Not sure,Less,More,More,Not sure,Less,More,Not sure,Same,More,Less
3354,2022-11-20,2022,11,N48,Female,Millennials,Business owner,Middle Income,Not sure,More,More,Same,Less,Less,More,More,Less,Not sure,Same,Not sure,Less
3355,2022-11-20,2022,11,N48,Male,Millennials,Salaried employee,Low Income,More,More,Not sure,Same,Same,Less,Not sure,Less,Not sure,Less,Same,Less,Not sure
3356,2022-11-20,2022,11,N48,Male,Gen Z,Salaried employee,Middle Income,Same,More,Less,More,Not sure,Less,Same,More,Same,More,Less,More,Less
3357,2022-11-20,2022,11,N48,Female,Millennials,Salaried employee,Middle Income,Same,More,Not sure,Less,Less,Not sure,Less,Same,More,Not sure,Not sure,Less,Not sure
3358,2022-11-20,2022,11,N48,Male,Millennials,Salaried employee,Middle Income,More,Less,Same,Less,Less,Less,More,Same,Not sure,Not sure,Same,Not sure,Same
3359,2022-11-20,2022,11,N48,Female,Gen Z,Salaried employee,Low Income,Not sure,Less,Not sure,Not sure,More,Not sure,Same,Less,Not sure,Same,More,Less,Same
3360,2022-11-20,2022,11,N48,Male,Millennials,Self employed/Contractor,Low Income,Less,Same,Not sure,Not sure,Less,More,Less,More,Less,More,Same,More,More
3361,2022-11-20,2022,11,N48,Female,Millennials,Unemployed,Middle Income,More,More,Less,Same,Not sure,Not sure,Less,More,Same,More,Same,Not sure,Not sure
3362,2022-11-20,2022,11,N48,Female,Millennials,Business owner,Middle Income,More,Less,Not sure,Less,Same,Same,Same,Less,More,Less,More,Not sure,Not sure
3363,2022-11-20,2022,11,N48,Female,Millennials,Self employed/Contractor,High Income,Same,Not sure,Less,Not sure,More,More,Not sure,Not sure,Less,More,Not sure,Less,Same
3364,2022-11-20,2022,11,N48,Male,Gen Z,Self employed/Contractor,Low Income,More,Less,Same,Same,Less,Less,Same,Not sure,Not sure,Same,Not sure,Less,Less
3365,2022-11-20,2022,11,N48,Female,Millennials,Business owner,Middle Income,More,Not sure,Less,More,More,Same,Less,More,Less,More,Not sure,More,Less
3366,2022-11-20,2022,11,N48,Male,Millennials,Salaried employee,Low Income,Same,More,Not sure,More,Not sure,Not sure,Less,Not sure,Not sure,Same,Not sure,Same,Same
3367,2022-11-20,2022,11,N48,Male,Gen Z,Unemployed,Low Income,More,Less,Not sure,Not sure,Less,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
3368,2022-11-20,2022,11,N5,Female,Millennials,Self employed/Contractor,Low Income,Same,More,More,More,Same,Less,Less,Same,Less,Less,Less,Less,Less
3369,2022-11-20,2022,11,N5,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3370,2022-11-20,2022,11,N5,Female,Millennials,Self employed/Contractor,Low Income,More,More,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,More
3371,2022-11-20,2022,11,N5,Male,Millennials,Salaried employee,Low Income,Same,More,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
3372,2022-11-20,2022,11,N5,Female,Millennials,Salaried employee,Low Income,More,More,More,More,Same,Less,Less,Less,Less,Less,Less,Less,Same
3373,2022-11-20,2022,11,N5,Female,Millennials,Self employed/Contractor,Low Income,More,More,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
3374,2022-11-20,2022,11,N5,Female,Gen Z,Salaried employee,Low Income,More,More,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
3375,2022-11-20,2022,11,N5,Male,Gen Z,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3377,2022-11-20,2022,11,N5,Male,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
3378,2022-11-20,2022,11,N5,Male,Millennials,Salaried employee,Low Income,More,More,Same,More,Same,Less,Less,Less,Less,Less,Same,Same,Same
3379,2022-11-20,2022,11,N5,Male,Millennials,Salaried employee,Low Income,Same,More,More,More,Same,Less,Less,Less,Same,Same,Less,Same,Same
3380,2022-11-20,2022,11,N5,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3381,2022-11-20,2022,11,N5,Female,Gen Z,Salaried employee,Low Income,Same,More,More,Same,Same,Less,Less,Less,Less,Less,Less,Same,Same
3382,2022-11-20,2022,11,N5,Male,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3383,2022-11-20,2022,11,N50,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Same,Same,Same
3384,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,Less,Not sure,Less,Same,Less,Same,Same
3385,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Same,Same,Same,Same,Same
3386,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Same,Same
3387,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3388,2022-11-20,2022,11,N50,Female,Gen Z,Salaried employee,Low Income,Same,Same,More,Less,Less,Not sure,Same,Same,Less,Less,Same,Same,Same
3389,2022-11-20,2022,11,N50,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Less,Less,Same,Same,Same
3390,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Not sure,Same,Less,Less,Less,Less,Less,Less
3391,2022-11-20,2022,11,N50,Female,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,Same,Same,Less,Same,Same,Same,More
3392,2022-11-20,2022,11,N50,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Same,Same,Same
3393,2022-11-20,2022,11,N50,Male,Gen Z,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,Same,Not sure,Same,Same,Same,Same,Same
3394,2022-11-20,2022,11,N50,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Less,Less,Less
3395,2022-11-20,2022,11,N50,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Less,Same,Same,Same
3396,2022-11-20,2022,11,N50,Female,Millennials,Salaried employee,Low Income,Same,Same,More,More,Less,Not sure,Same,Same,Same,More,Same,Same,Same
3397,2022-11-20,2022,11,N50,Female,Gen Z,Salaried employee,Low Income,Same,Same,More,More,Less,Not sure,Same,Same,Less,Less,Same,Same,More
3398,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Same,Same
3399,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Same,Less,Less,Same,Less,Less,Less,Same
3400,2022-11-20,2022,11,N6,Female,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Same
3401,2022-11-20,2022,11,N6,Female,Millennials,Self employed/Contractor,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Same
3402,2022-11-20,2022,11,N6,Female,Gen Z,Salaried employee,Low Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Less,Same
3403,2022-11-20,2022,11,N6,Male,Gen X,Salaried employee,Middle Income,More,More,Same,Same,Same,Same,Same,Same,Same,Less,Less,Less,Same
3404,2022-11-20,2022,11,N6,Female,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Less,Same
3405,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Less,Same
3406,2022-11-20,2022,11,N6,Female,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Less
3407,2022-11-20,2022,11,N6,Female,Gen Z,Student,Low Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Same,Same
3408,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Less
3409,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Low Income,More,More,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
3410,2022-11-20,2022,11,N6,Male,Gen X,Business owner,Middle Income,More,More,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Same
3412,2022-11-20,2022,11,N6,Male,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,Same,Same,Same,Same,Less,Less,Less,Same
3413,2022-11-20,2022,11,N8,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,Same,Less,Less,Same,Same,More,More
3414,2022-11-20,2022,11,N8,Male,Millennials,Unemployed,Low Income,Same,More,Same,Same,Same,Same,More,Same,Same,More,Same,More,Same
3415,2022-11-20,2022,11,N8,Female,Millennials,Self employed/Contractor,Middle Income,More,More,Same,Same,More,Not sure,Same,Same,Same,Less,Same,Same,Same
3416,2022-11-20,2022,11,N8,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,More,Same,Same,Same,More,More,Same,Same,More,Same
3417,2022-11-20,2022,11,N8,Female,Millennials,Salaried employee,Low Income,Same,Same,More,Same,More,Same,Same,Same,More,More,Same,More,Same
3418,2022-11-20,2022,11,N8,Female,Millennials,Salaried employee,Low Income,Same,More,More,Same,More,Same,Same,Same,More,Same,Same,Same,Same
3419,2022-11-20,2022,11,N8,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3420,2022-11-20,2022,11,N8,Male,Millennials,Self employed/Contractor,Low Income,Same,Less,Same,Same,More,Same,Same,Same,More,More,Same,More,Same
3421,2022-11-20,2022,11,N8,Male,Millennials,Business owner,Low Income,Same,Same,Same,Less,Not sure,Same,Same,Same,Not sure,Less,Same,Less,Same
3422,2022-11-20,2022,11,N8,Female,Gen X,Salaried employee,Middle Income,Less,Same,Same,Same,Same,Not sure,Same,Same,More,Same,Same,Same,Same
3423,2022-11-20,2022,11,N8,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Same,Same,More,Same,Same,More,More,Same,Same,Same
3424,2022-11-20,2022,11,N8,Male,Millennials,Unemployed,Low Income,Less,Less,Same,Same,Same,More,Same,Same,Same,Same,Not sure,Same,Same
3425,2022-11-20,2022,11,N8,Male,Millennials,Salaried employee,Low Income,Same,More,More,More,More,Same,Same,Same,More,Same,Same,Same,Same
3426,2022-11-20,2022,11,N8,Male,Millennials,Unemployed,Low Income,Same,More,Same,Same,Same,More,More,Same,Same,More,Same,Same,Same
3427,2022-11-20,2022,11,N8,Female,Gen X,Salaried employee,Middle Income,More,Same,Same,Same,More,Same,More,Same,Same,Same,More,More,More
3428,2022-11-20,2022,11,N9,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3429,2022-11-20,2022,11,N9,Male,Millennials,Student,Middle Income,Same,More,Same,Same,More,Same,Same,Less,Same,Same,Same,More,Same
3430,2022-11-20,2022,11,N9,Female,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3431,2022-11-20,2022,11,N9,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,More,Same,Same,More,Same,Same,More,Same
3432,2022-11-20,2022,11,N9,Male,Gen X,Business owner,Middle Income,Same,Same,Same,More,Same,Same,More,Same,Same,Same,More,More,Same
3433,2022-11-20,2022,11,N9,Male,Millennials,Salaried employee,Middle Income,Less,Same,Same,Less,Same,Less,Less,Same,Same,Less,Same,Same,Same
3434,2022-11-20,2022,11,N9,Female,Millennials,Business owner,Middle Income,Same,Same,More,Same,Same,More,Same,Same,More,More,Same,Same,Same
3435,2022-11-20,2022,11,N9,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,More,Same,Same,Less,Same,Same,Less,Same,More
3436,2022-11-20,2022,11,N9,Male,Millennials,Self employed/Contractor,Middle Income,Same,Less,Same,More,Same,Same,Same,More,Same,Less,Same,Same,Same
3437,2022-11-20,2022,11,N9,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,More,Same,More,More,More,More,Less,Same,Less,Same
3438,2022-11-20,2022,11,N9,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3439,2022-11-20,2022,11,N9,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3440,2022-11-20,2022,11,N9,Female,Gen Z,Salaried employee,Middle Income,Same,More,More,Same,More,Same,Same,Same,Same,Same,More,More,More
3441,2022-11-20,2022,11,N9,Female,Gen Z,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3442,2022-11-20,2022,11,N9,Female,Millennials,Student,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,Same,Less,Same,Same,Same
3443,2022-11-20,2022,11,N9,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3444,2022-11-20,2022,11,NK1,Female,Millennials,Salaried employee,High Income,Same,Same,More,More,Less,Less,Same,Same,Less,Less,Same,Less,More
3445,2022-11-20,2022,11,NK1,Male,Millennials,Business owner,Middle Income,Same,Same,Not sure,More,Same,Same,Not sure,Not sure,Same,Less,Not sure,Less,More
3446,2022-11-20,2022,11,NK1,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Less,Not sure,Not sure,Not sure,Less,Less,Less,Less,More
3447,2022-11-20,2022,11,NK1,Male,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,More,Less,Less,Same,Not sure,Less,Less,Not sure,Less,More
3448,2022-11-20,2022,11,NK1,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Not sure,Not sure,More,Less,Not sure,Same,More
3449,2022-11-20,2022,11,NK1,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,More,Less,Not sure,Less,Less,Less,Not sure,Less,Less,More
3450,2022-11-20,2022,11,NK1,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,More,Less,Same,Same,Less,Not sure,Not sure,Same,More
3451,2022-11-20,2022,11,NK1,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
3452,2022-11-20,2022,11,NK1,Male,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Not sure,Less,Less,Not sure,Not sure,Less,Less,Same
3453,2022-11-20,2022,11,NK1,Female,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Less,Not sure,Same,Less,Less,Not sure,Less,Less,Same
3454,2022-11-20,2022,11,NK1,Male,Gen X,Salaried employee,Middle Income,Same,Same,Not sure,More,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Less,Same
3455,2022-11-20,2022,11,NK1,Female,Millennials,Business owner,Middle Income,Same,Same,More,More,Not sure,Not sure,Less,Less,Less,Not sure,Not sure,Not sure,Less
3456,2022-11-20,2022,11,NK1,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Less,Less,Same,Less,Not sure,Less,More
3457,2022-11-20,2022,11,NK1,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Same,Less,Not sure,Less,More
3458,2022-11-20,2022,11,NK1,Female,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Same
3459,2022-11-20,2022,11,NK1,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,More,Not sure,Same,Same,Less,Less,Less,Less,More
3460,2022-11-20,2022,11,NK1,Male,Gen X,Self employed/Contractor,Middle Income,Same,More,Not sure,Not sure,Not sure,Same,Not sure,Not sure,Same,Less,Not sure,Less,More
3461,2022-11-20,2022,11,NK1,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,More,Less,More,Less,Less,Less,Not sure,Not sure,Not sure,Less
3462,2022-11-20,2022,11,NK1,Male,Millennials,Salaried employee,Middle Income,Same,Same,Not sure,More,Less,Same,Not sure,Not sure,Less,Less,Not sure,Less,More
3464,2022-06-20,2022,6,MS1,Female,Gen Z,Student,High Income,More,More,More,More,Less,Same,More,More,Same,More,More,More,More
3465,2022-06-20,2022,6,MS1,Female,Gen Z,Student,High Income,More,More,More,More,Less,Less,More,More,Same,More,More,More,More
3466,2022-06-20,2022,6,MS1,Male,Millennials,Salaried employee,Low Income,Same,Same,Less,Same,Same,Less,Same,Same,Less,Less,Same,Same,More
3467,2022-06-20,2022,6,MS1,Female,Gen Z,Student,Low Income,Same,More,More,More,More,Not sure,More,Same,More,Not sure,More,More,Less
3468,2022-06-20,2022,6,MS1,Male,Millennials,Salaried employee,Low Income,More,Same,More,Same,Not sure,Less,Less,Same,More,Same,More,Same,Same
3469,2022-06-20,2022,6,MS1,Male,Millennials,Salaried employee,Low Income,More,Same,More,More,Less,More,Same,Less,Not sure,More,More,Same,Same
3470,2022-06-20,2022,6,MS1,Female,Millennials,Unemployed,Low Income,More,Same,More,Same,More,More,More,More,Same,More,Same,Less,More
3471,2022-06-20,2022,6,MS1,Male,Millennials,Salaried employee,Low Income,More,Same,More,Same,Same,More,Same,More,More,More,Same,More,More
3472,2022-06-20,2022,6,MS1,Female,Gen X,Self employed/Contractor,Low Income,More,Same,More,More,Same,More,More,Same,Same,More,More,More,More
3473,2022-06-20,2022,6,MS1,Male,Gen Z,Salaried employee,Low Income,More,Same,Same,More,Same,More,Same,More,Same,Not sure,More,More,More
3474,2022-06-20,2022,6,MS1,Male,Gen Z,Salaried employee,Low Income,More,More,Same,More,Same,Not sure,Not sure,More,More,Same,More,More,Not sure
3475,2022-06-20,2022,6,MS1,Female,Gen Z,Student,Low Income,More,Same,More,More,Less,More,More,Same,More,Less,Less,More,More
3476,2022-06-20,2022,6,MS1,Female,Gen Z,Student,Low Income,More,More,Same,Same,Less,More,Same,Same,More,Same,Less,More,More
3477,2022-06-20,2022,6,MS1,Male,Gen Z,Self employed/Contractor,Low Income,More,More,More,More,Same,Same,Same,Same,Same,Less,Less,More,More
3478,2022-06-20,2022,6,MS1,Male,Gen Z,Self employed/Contractor,Low Income,More,More,Same,Same,Not sure,Same,Same,Less,Less,More,Less,More,More
3479,2022-06-20,2022,6,MS1,Male,Gen Z,Unemployed,Low Income,Same,More,More,Same,Not sure,Same,Less,Same,More,Same,More,More,Not sure
3480,2022-06-20,2022,6,MS1,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,More,More,Not sure,Same,Less,Less,More,More,More
3481,2022-06-20,2022,6,MS1,Female,Gen Z,Salaried employee,Low Income,More,More,Not sure,More,More,Same,Same,Same,Same,Same,Less,Same,More
3482,2022-06-20,2022,6,MS1,Male,Millennials,Unemployed,Low Income,Same,More,Not sure,Not sure,More,More,More,Not sure,Not sure,Not sure,More,Not sure,Not sure
3483,2022-06-20,2022,6,N1,Female,Gen X,Salaried employee,Middle Income,Same,Same,More,Same,Same,More,More,More,More,More,More,More,More
3484,2022-06-20,2022,6,N1,Female,Millennials,Salaried employee,Middle Income,Same,More,More,Not sure,More,Not sure,More,Not sure,More,Same,More,Not sure,Same
3485,2022-06-20,2022,6,N1,Male,Gen X,Student,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3486,2022-06-20,2022,6,N1,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3487,2022-06-20,2022,6,N1,Female,Gen X,Salaried employee,Middle Income,Not sure,Not sure,Not sure,Not sure,Same,Same,Same,Same,Same,Same,Same,Same,Same
3488,2022-06-20,2022,6,N1,Female,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3489,2022-06-20,2022,6,N1,Male,Gen X,Salaried employee,Middle Income,More,Same,Same,Same,Same,Less,Less,Same,Less,Less,Less,Same,Same
3490,2022-06-20,2022,6,N1,Female,Baby Boomers,Self employed/Contractor,Middle Income,More,More,Same,Same,Same,Less,Same,Same,Same,Less,Same,Less,Same
3491,2022-06-20,2022,6,N1,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3492,2022-06-20,2022,6,N1,Male,Millennials,Self employed/Contractor,Middle Income,Same,More,More,Not sure,More,More,Not sure,Not sure,More,Same,More,More,Same
3493,2022-06-20,2022,6,N1,Female,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3494,2022-06-20,2022,6,N1,Female,Gen Z,Student,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3495,2022-06-20,2022,6,N1,Male,Baby Boomers,Unemployed,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3496,2022-06-20,2022,6,N1,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3497,2022-06-20,2022,6,N1,Female,Baby Boomers,Salaried employee,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3498,2022-06-20,2022,6,N1,Female,Millennials,Salaried employee,Low Income,Same,More,Not sure,More,Same,Not sure,More,More,Same,More,More,Same,Same
3499,2022-06-20,2022,6,N1,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3500,2022-06-20,2022,6,N1,Female,Baby Boomers,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3501,2022-06-20,2022,6,N1,Male,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3502,2022-06-20,2022,6,N1,Female,Gen Z,Student,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3503,2022-06-20,2022,6,N10,Male,Baby Boomers,Business owner,Middle Income,More,More,Same,Same,Less,Not sure,Less,Less,Less,Same,Less,Less,More
3504,2022-06-20,2022,6,N10,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Not sure,Same,Same,Less,More
3505,2022-06-20,2022,6,N10,Female,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Not sure,Not sure,Same,Less,Not sure,Same,Less,Less,Same
3506,2022-06-20,2022,6,N10,Male,Baby Boomers,Self employed/Contractor,High Income,Same,More,Same,More,Less,Same,Same,Same,Less,Same,Same,Less,More
